ref,value,footprint,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8
BT1,BATTERY_CR2032,BATT_CR2032_MPD,Keystone,103,digi,103K-ND,,,,,,
P99,176122-6_2ND,176122-6_2nd,TE,176122-6,DIGI,176122-6_2ND,,,,,,
P165,CONN_2,PIN_ARRAY_2X1,do not populate,DNP,do not populate,DNP,,,,,,
P166,CONN_2,PIN_ARRAY_2X1,do not populate,DNP,do not populate,DNP,,,,,,
P352,MICRO-SDCARD-CONNECTOR-3300060P1,MICRO-SDCARD-CONNECTOR-3300060P1,seeed,3300060P1,,,,,,,
P602,CONN_2,SIL-2,dnp,dnp,dnp,dnp,dnp,dnp,,,,,
P604,CONN_2,SIL-2,dnp,dnp,dnp,dnp,dnp,dnp,,,,,
P901,CONN_1,SIL-1,,,,,,,,
P902,CONN_1,SIL-1,,,,,,,,
P1001,CONN_1,1PIN_SMD,DO NOT POPULATE,DNP,DO NOT POPULATE,DNP,,,,,,
P1002,CONN_1,SIL-1,DO NOT POPULATE,DNP,DO NOT POPULATE,DNP,,,,,,
P1101,CONN_1,1pin,DO NOT POPULATE,DNP,DO NOT POPULATE,DNP,,,,,,
P1102,CONN_1,1pin,DO NOT POPULATE,DNP,DO NOT POPULATE,DNP,,,,,,
P1103,CONN_2,SIL-2,on-shore,OSTVN02A150,digi,ED10561-ND,,,,,,
P1104,CONN_2,tcpl_PCC-SMP,omega,PCC-SMP-K,digi,1471-1067-ND,,,,,,
P1201,CONN_1,1pin,DO NOT POPULATE,DNP,DO NOT POPULATE,DNP,,,,,,
P1202,CONN_1,1pin,DO NOT POPULATE,DNP,DO NOT POPULATE,DNP,,,,,,
P1203,CONN_2,SIL-2,on-shore,OSTVN02A150,digi,ED10561-ND,,,,,,
P1204,CONN_2,tcpl_PCC-SMP,omega,PCC-SMP-K,digi,1471-1067-ND,,,,,,
P1301,CONN_1,1pin,DO NOT POPULATE,DNP,DO NOT POPULATE,DNP,,,,,,
P1302,CONN_1,1pin,DO NOT POPULATE,DNP,DO NOT POPULATE,DNP,,,,,,
P1303,CONN_2,SIL-2,on-shore,OSTVN02A150,digi,ED10561-ND,,,,,,
P1304,CONN_2,tcpl_PCC-SMP,omega,PCC-SMP-K,digi,1471-1067-ND,,,,,,
P1401,CONN_1,1pin,DO NOT POPULATE,DNP,DO NOT POPULATE,DNP,,,,,,
P1402,CONN_1,1pin,DO NOT POPULATE,DNP,DO NOT POPULATE,DNP,,,,,,
P1403,CONN_2,SIL-2,on-shore,OSTVN02A150,digi,ED10561-ND,,,,,,
P1404,CONN_2,tcpl_PCC-SMP,omega,PCC-SMP-K,digi,1471-1067-ND,,,,,,
Q401,OVP_DRIVER,SO8E_ST,ST,VNS14NV04,digi,497-11123-1-ND,,,,,,
Q402,OVP_DRIVER,SO8E_ST,ST,VNS14NV04,digi,497-11123-1-ND,,,,,,
Q403,OVP_DRIVER,SO8E_ST,ST,VNS14NV04,digi,497-11123-1-ND,,,,,,
