; Unit System: English
; Time: seconds
; Intake manifold absolute pressure: PSI
; Ignition timing advance for #1 cylinder: 
; Engine RPM: RPM
;
Time,Intake manifold absolute pressure,Time,Ignition timing advance for #1 cylinder,Time,Engine RPM
46684.4435975,2.900755,46684.6316222,52.5,46684.5376094,4842
46684.7815399,2.900755,46684.9616159,52.5,46684.8666339,4774.75
46685.126644,2.900755,46685.299678,52.5,46685.2116482,4646.25
46685.4526369,3.045793,46685.6356384,52.5,46685.5625777,4585.25
46685.8146639,3.045793,46685.9608973,53,46685.8926818,4494.5
46686.1266731,3.335868,46686.3027362,53,46686.2136798,4484.25
46686.4735983,3.480906,46686.6315408,53,46686.5606496,4415.25
46686.8366488,3.480906,46686.9877118,53.5,46686.9107521,4367.25
46687.1686254,3.480906,46687.3626478,53.5,46687.2437553,4313.75
46687.5177536,2.610679,46687.6657481,22.5,46687.590762,4221.25
46687.8408002,2.175566,46688.0026735,22.5,46687.9177856,4080.75
46688.1643414,2.030528,46688.3258082,22.5,46688.2416885,3944.5
46688.5128108,2.030528,46688.6806738,22.5,46688.5826507,3692.75
46688.9597517,2.175566,46689.1067377,22.5,46689.0447252,3298.5
46689.3348348,2.175566,46689.6307196,22.5,46689.4678455,2962
46690.0438757,2.465641,46690.3319212,22.5,46690.1999054,2344.75
46690.7399208,2.465641,46691.0279303,22.5,46690.8799264,2047.75
46691.4228134,2.900755,46691.6868689,43,46691.5649662,1798
46692.1310211,4.641208,46692.417005,30.5,46692.295015,1722.25
46692.8340517,4.931283,46693.0988626,36.5,46692.9780505,1711.5
46693.5083839,5.801509,46693.7951497,35,46693.6571621,1809
46694.2250211,6.091585,46694.5045439,34.5,46694.3556331,1886
46694.9591589,6.091585,46695.2361966,36.5,46695.0831319,1986
46695.6472261,5.511434,46695.9162826,40.5,46695.7754566,2058
46696.351219,5.366396,46696.6331502,7.5,46696.4910935,2209.75
46697.0352487,14.35874,46697.3172962,13.5,46697.188215,2705.25
46697.7503176,14.50377,46698.0552354,22.5,46697.9006618,3585.5
46698.4683445,2.175566,46698.7426647,9,46698.6248275,3335.75
46699.2073137,2.175566,46699.4792532,22.5,46699.3384078,3047
46699.9105508,9.862566,46700.2323886,15.5,46700.0604836,3076.5
46700.6407234,14.64881,46700.9319567,17.5,46700.7610098,3724.75
46701.3471214,14.50377,46701.6397097,20,46701.5124985,4628.5
46701.9944832,2.175566,46702.162596,21.5,46702.0785789,4804
46702.5616269,1.885491,46702.7367681,22.5,46702.650627,4635.25
46702.8986421,1.885491,46703.074637,22.5,46702.9896533,4236.25
46703.240654,1.740453,46703.4066128,22.5,46703.3258447,3760.5
46703.5855906,1.885491,46703.7447281,22.5,46703.6596913,3279.25
46703.9397079,2.175566,46704.1016127,22.5,46704.0147513,2856
46704.2737265,2.465641,46704.4657303,22.5,46704.3607179,2427.75
46704.640779,2.465641,46704.7887606,22.5,46704.7148027,1934.5
46704.949768,2.900755,46705.1227894,22.5,46705.0367868,1569.75
46705.2816907,3.19083,46705.4527865,22.5,46705.3586837,1489.5
46705.5966473,3.480906,46705.7857366,22.5,46705.6848535,1375
46705.9478236,3.916019,46706.1238587,21,46706.0369767,1254.75
46706.2817822,4.206094,46706.4628508,20,46706.3658745,1163.25
46706.6638875,4.351132,46706.8368818,10,46706.75188,1076.25
46707.0468288,4.786245,46707.3438742,22.5,46707.2129137,1022.5
46707.7509236,5.946547,46708.0433257,21.5,46707.8916062,991.25
46708.491888,6.236623,46708.7879985,21.5,46708.6109767,949
