ref,value,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8
BT1,BATTERY_CR2032,Keystone,103,DIGI,103K-ND,,,,,,
P1101,CONN_1,DO NOT POPULATE,DNP,DO NOT POPULATE,DNP,,,,,,
P1102,CONN_1,DO NOT POPULATE,DNP,DO NOT POPULATE,DNP,,,,,,
P1103,CONN_2,on-shore,OSTVN02A150,DIGI,ED10561-ND,,,,,,
P1104,CONN_2,omega,PCC-SMP-K,DIGI,1471-1067-ND,,,,,,
P1201,CONN_1,DO NOT POPULATE,DNP,DO NOT POPULATE,DNP,,,,,,
P1202,CONN_1,DO NOT POPULATE,DNP,DO NOT POPULATE,DNP,,,,,,
P1203,CONN_2,on-shore,OSTVN02A150,DIGI,ED10561-ND,,,,,,
P1204,CONN_2,omega,PCC-SMP-K,DIGI,1471-1067-ND,,,,,,
P1301,CONN_1,DO NOT POPULATE,DNP,DO NOT POPULATE,DNP,,,,,,
P1302,CONN_1,DO NOT POPULATE,DNP,DO NOT POPULATE,DNP,,,,,,
P1303,CONN_2,on-shore,OSTVN02A150,DIGI,ED10561-ND,,,,,,
P1304,CONN_2,omega,PCC-SMP-K,DIGI,1471-1067-ND,,,,,,
P1401,CONN_1,DO NOT POPULATE,DNP,DO NOT POPULATE,DNP,,,,,,
P1402,CONN_1,DO NOT POPULATE,DNP,DO NOT POPULATE,DNP,,,,,,
P1403,CONN_2,on-shore,OSTVN02A150,DIGI,ED10561-ND,,,,,,
P1404,CONN_2,omega,PCC-SMP-K,DIGI,1471-1067-ND,,,,,,
Q401,OVP_DRIVER,ST,VNS14NV04,DIGI,497-11123-1-ND,,,,,,
Q402,OVP_DRIVER,ST,VNS14NV04,DIGI,497-11123-1-ND,,,,,,
Q403,OVP_DRIVER,ST,VNS14NV04,DIGI,497-11123-1-ND,,,,,,
Q404,OVP_DRIVER,ST,VNS14NV04,DIGI,497-11123-1-ND,,,,,,
Q405,OVP_DRIVER,ST,VNS14NV04,DIGI,497-11123-1-ND,,,,,,
Q406,OVP_DRIVER,ST,VNS14NV04,DIGI,497-11123-1-ND,,,,,,
Q407,OVP_DRIVER,ST,VNS14NV04,DIGI,497-11123-1-ND,,,,,,
Q408,OVP_DRIVER,ST,VNS14NV04,DIGI,497-11123-1-ND,,,,,,
Q409,OVP_DRIVER,ST,VNS14NV04,DIGI,497-11123-1-ND,,,,,,
Q410,OVP_DRIVER,ST,VNS14NV04,DIGI,497-11123-1-ND,,,,,,
Q411,OVP_DRIVER,ST,VNS14NV04,DIGI,497-11123-1-ND,,,,,,
Q412,OVP_DRIVER,ST,VNS14NV04,DIGI,497-11123-1-ND,,,,,,
Q701,MOS_PRO,vishay,SI2323DS-T1-E3,DIGI,SI2323DS-T1-E3CT-ND,,,,,,
Q1001,MOS_PRO,vishay,SI2323DS-T1-E3,DIGI,SI2323DS-T1-E3CT-ND,sky-macau.com,4824167646,,,,,
R1,10k,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R2,100,PANASONIC,ERJ-6ENF1000V,DIGI,P100CTR-ND,,,,,,
R3,10k,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R4,10k,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R5,330R,ECG,ERA6AEB331V,DIGI,P330DADKR-ND,,,,,,
R6,680R,ECG,ERA6AEB681V,DIGI,P680DACT-ND,,,,,,
R7,680R,ECG,ERA6AEB681V,DIGI,P680DACT-ND,,,,,,
R8,680R,ECG,ERA6AEB681V,DIGI,P680DACT-ND,,,,,,
R9,680R,ECG,ERA6AEB681V,DIGI,P680DACT-ND,,,,,,
R10,47R,ECG,ERA6AEB473V,DIGI,P47KDACT-ND,,,,,,
R11,1k,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,,,,,,
R12,1k,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,,,,,,
R13,1k,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,,,,,,
R14,100k,ECG,ERA6AEB104V,DIGI,P100KDACT-ND,,,,,,
R99,1k,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,,,,,,
R102,5k,STACKPOLE,RNCP0805FTD4K99,DIGI,RNCP0805FTD4K99CT-ND,,,,,,
R103,5k,STACKPOLE,RNCP0805FTD4K99,DIGI,RNCP0805FTD4K99CT-ND,,,,,,
R104,5k,STACKPOLE,RNCP0805FTD4K99,DIGI,RNCP0805FTD4K99CT-ND,,,,,,
R106,5k,STACKPOLE,RNCP0805FTD4K99,DIGI,RNCP0805FTD4K99CT-ND,,,,,,
R107,5k,STACKPOLE,RNCP0805FTD4K99,DIGI,RNCP0805FTD4K99CT-ND,,,,,,
R108,5k,STACKPOLE,RNCP0805FTD4K99,DIGI,RNCP0805FTD4K99CT-ND,,,,,,
R109,5k,STACKPOLE,RNCP0805FTD4K99,DIGI,RNCP0805FTD4K99CT-ND,,,,,,
R110,5k,STACKPOLE,RNCP0805FTD4K99,DIGI,RNCP0805FTD4K99CT-ND,,,,,,
R111,5k,STACKPOLE,RNCP0805FTD4K99,DIGI,RNCP0805FTD4K99CT-ND,,,,,,
R112,5k,STACKPOLE,RNCP0805FTD4K99,DIGI,RNCP0805FTD4K99CT-ND,,,,,,
R113,10k,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R114,10k,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R137,1K,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,,,,,,
R141,1K,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND,,,,,,
R161,1M,ECG,ERA-6AEB105V,DIGI,P1MDACT-ND,,,,,,
R162,1M,ECG,ERA-6AEB105V,DIGI,P1MDACT-ND,,,,,,
R163,10k,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R164,10k,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND,,,,,,
R166,2M,vishay,CRCW08052M00FKEA,DIGI,541-2.00MCCT-ND,,,,,,
